t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
21.67,20.363636363636363,9.718772836862968,"[30, 13, 10, 29, 21, 25, 18, 21, 5, 14, 38]",105.25156008842538,47.613140263188775,"[112.17597281739819, 51.36377307105963, 51.51651823724401, 134.05964613176837, 86.32147275977603, 106.58132191872046, 77.48574487815523, 191.96061779745745, 36.977981393162125, 160.75825744159377, 148.565854526344]",27427.773014241902,18761.826478195697,"[34016.935805428206, 6947.452589319451, 6975.073661605526, 43031.14037498607, 20426.877033159108, 26676.727221862522, 17137.120735562006, 51288.659940304155, 2439.91804359945, 27948.674057453594, 64816.923693380864]",0.07249894584962131,0.032459788527124424,"[0.07363402178605817, 0.08939566888400709, 0.06775374356028292, 0.05921370492253194, 0.038777095025147486, 0.07072345563976623, 0.059791265445433485, 0.1326416625953903, 0.02465744214886783, 0.13077364380240114, 0.050126700535947935]"
21.83,20.818181818181817,10.13724007625529,"[32, 13, 10, 28, 21, 25, 19, 21, 5, 15, 40]",106.42046383867927,49.45438625080621,"[117.00296140927956, 48.84127204142362, 52.33101353404717, 134.52357013652735, 83.70209554889173, 102.17544631448727, 81.74887227506326, 191.80511276349122, 36.678528370024694, 144.70352025029706, 177.11270958193893]",28471.23707874925,19328.425333178246,"[36885.28361103851, 6750.857467353009, 7186.448834818479, 43358.862418967954, 20604.492255098743, 26491.484225268847, 18903.512609952446, 51460.52447017927, 2335.075884879013, 31853.70139968182, 67353.36468900366]",0.07213544220075702,0.028474762442202536,"[0.07782131584995292, 0.08330274312278386, 0.07098951970554153, 0.06384144675967958, 0.05353369060273311, 0.06921143535448233, 0.055988609483324306, 0.11232505348315944, 0.02465744214886783, 0.13275554321445024, 0.049063064483352084]"
22.0,21.636363636363637,10.782140114770604,"[35, 13, 10, 30, 21, 25, 19, 23, 5, 16, 41]",112.17151915521195,53.24429306376324,"[126.60020178840077, 49.45110786481284, 52.77073643707499, 169.32009775875832, 82.08297588848184, 102.85939213719003, 84.88738712224041, 191.98263331879983, 36.98369879331204, 159.85515346029106, 177.09332613796948]",31871.78567932731,23634.103233700807,"[39664.70700858738, 6900.644585922149, 7300.410730878787, 76336.10334213357, 19859.86120506081, 26863.698574425558, 19275.040270132507, 52589.808030830805, 2379.0080238066407, 32165.360943551816, 67254.99975727033]",0.07393046719112054,0.026820952563888764,"[0.07699591637329577, 0.07388202860622184, 0.07447201066593266, 0.06211512150856161, 0.05846593528305229, 0.07277401445190398, 0.06781040746358533, 0.10750529215190507, 0.02465744214886783, 0.1349640225802382, 0.059592947868761334]"
22.17,21.727272727272727,10.98263091513968,"[34, 13, 10, 30, 21, 27, 19, 23, 5, 15, 42]",103.45234519280831,52.52442711477117,"[125.06660870925187, 49.522486288073736, 53.598386405400696, 169.37155101814864, 82.20431793875403, 102.35838394019336, 87.91805178285765, 192.11586011430407, 36.50828489946893, 62.302743822654435, 177.0091222017843]",30218.54686388683,24274.580156702803,"[38434.82498378248, 6906.431670790442, 7527.095113419911, 76353.89005983321, 19862.274867782402, 28285.4241813274, 20724.175651084843, 53212.854220717854, 2275.508484457577, 11591.745882150728, 67229.79038740828]",0.0711986892295489,0.026407922771756052,"[0.07490511921820515, 0.07295093442705279, 0.0739756122781421, 0.05923073812527343, 0.05149845034210169, 0.07454698072927521, 0.060975323439559616, 0.10960822394159433, 0.02465744214886783, 0.12660822836241836, 0.05422852851254749]"
22.33,22.818181818181817,11.703146430068982,"[36, 13, 10, 30, 22, 28, 20, 25, 5, 17, 45]",101.89664939584053,47.05812486484796,"[128.22892864083343, 49.50606049734, 54.89123661661739, 135.5260172362533, 86.54411300282322, 107.79548465951363, 87.72309088224637, 192.39039723810947, 36.542417368426726, 76.53045462645613, 165.18494258562595]",28517.706166757915,20070.216914584944,"[40743.22045644369, 6902.379923258024, 7887.262840508707, 44469.22599771716, 22668.642343144562, 30909.387972582583, 20593.26246826882, 53407.42428878376, 2328.163488140892, 15736.755461477065, 68049.04259401183]",0.0669681375596595,0.02623764328626288,"[0.06791900547851601, 0.07114333109961099, 0.06537373795966454, 0.06116749869716794, 0.04878323352028389, 0.05950263864711279, 0.05340796620441052, 0.1067674769329648, 0.02465744214886783, 0.1250602827977143, 0.05286689966994088]"
22.5,23.363636363636363,11.732627389231512,"[37, 13, 10, 30, 24, 28, 22, 25, 5, 18, 45]",104.80022296608045,46.22278351191911,"[129.34867444907232, 49.72486636377581, 55.158425475314864, 135.79877741714742, 94.03875267825157, 108.10125937806033, 87.84850056095706, 191.99161980379475, 36.39744966896129, 98.69823304005052, 165.69589379149917]",29309.57586827256,19800.683201783428,"[41597.85328355676, 6965.752505239632, 7957.488629170524, 44654.838322412135, 25747.498833496094, 31251.16788019297, 20653.398055831876, 52849.602842515764, 2246.659112847143, 20289.42544669806, 68191.6496390372]",0.0632560492557443,0.021400052571591756,"[0.07727908674333327, 0.07039603608561501, 0.059821811031382975, 0.059287269423504506, 0.0486927568740578, 0.06136247093484306, 0.05270074864977721, 0.10738714368761319, 0.023215758722079073, 0.08836209739508635, 0.04731136226589486]"
22.67,23.90909090909091,12.19388818592778,"[38, 13, 10, 32, 24, 28, 22, 25, 6, 18, 47]",105.50266117098491,45.88634810982942,"[129.64138209345438, 50.04606001966218, 54.891743125135754, 148.68967465059882, 94.4937102880074, 109.12995506136667, 85.47907860939858, 192.03457031435275, 40.00682680578004, 98.51022461111927, 157.6060473019582]",29670.147959359107,19947.714256372426,"[41908.00019157408, 7064.879838604015, 7916.020676608913, 46470.75949766292, 25966.28102719596, 31825.589527207034, 20656.146245983888, 52854.65301570196, 2950.8366549918046, 20120.369201209272, 68638.09167621033]",0.06194008642806737,0.019318658437276353,"[0.06819500061730331, 0.07102510915841358, 0.059314278835557954, 0.059139424462043046, 0.048307624321672696, 0.06002028897254667, 0.051237928516593326, 0.10313507387355414, 0.02512700301079155, 0.0843681765389424, 0.05147104240132252]"
22.83,24.636363636363637,12.460118195849727,"[37, 14, 10, 33, 27, 28, 24, 25, 6, 18, 49]",109.38381867580496,49.38391432793292,"[129.39399332667722, 52.11091889495612, 54.80898425360465, 187.00907179186515, 99.97631353473231, 109.77670349517042, 90.0852390370542, 192.00130586221997, 40.53586811890122, 94.59364236954774, 152.92996474912536]",33227.76072443737,24157.409196998673,"[41922.902562034345, 7440.471103508153, 7907.701063003184, 79183.56125365669, 27864.843187068942, 32317.177014998368, 22538.952720980764, 52907.92138263592, 3003.560028791835, 20775.603963881855, 69642.67368825097]",0.06495158126088797,0.015566887514167169,"[0.06711418006268502, 0.07073168909822507, 0.05580266052904263, 0.05955768195184761, 0.050389723211767344, 0.06260957323558476, 0.058306857668465564, 0.0999477834752054, 0.05068347309657094, 0.0894147639776269, 0.04990900756274657]"
23.0,25.545454545454547,13.125270559981889,"[40, 16, 10, 33, 28, 29, 24, 27, 6, 17, 51]",110.93562771873154,50.63823823687609,"[133.6331442459889, 60.476972446646045, 55.38209405438649, 187.75853634720949, 100.26909988650667, 115.14823794208363, 90.29394203233397, 195.60846019254106, 40.94199756987266, 79.44841620024268, 161.33100398823547]",34370.153595867734,24902.304555359042,"[45958.132124475385, 9604.40156541025, 8057.523037429129, 80174.13056840347, 28148.588040263417, 35633.96933218374, 22717.195659802437, 57714.399352292436, 3060.972861210858, 16899.278816646853, 70103.09819642709]",0.06423806448959417,0.015681275663894812,"[0.06766257883484735, 0.06904637862624166, 0.05471449047436187, 0.05677553456726735, 0.04993808729600891, 0.06481782499002202, 0.05964798064108634, 0.09805612443831424, 0.0440543494237275, 0.08907147520938638, 0.052833884884272264]"
23.17,26.545454545454547,13.269239890541103,"[42, 16, 13, 38, 29, 29, 23, 27, 7, 17, 51]",111.45922329364326,44.413710935411665,"[142.42182150424293, 60.56528287827902, 85.32290413068495, 148.85297505206165, 104.19641167627611, 115.31436911244754, 90.97413203233806, 195.77911839585968, 41.00258555259676, 79.99464086065771, 161.6272150346314]",33367.81968901137,20819.332050849003,"[54534.05020137184, 9744.05063281889, 17207.637986068992, 49781.95720796412, 29496.303824086808, 35602.193840592256, 23047.630188145995, 57268.06237259472, 3099.0565636758547, 17112.85115514014, 70152.22260666534]",0.061909504806322777,0.014280638953805271,"[0.06638499413371257, 0.05604477112045626, 0.053871264875329075, 0.058134015280649945, 0.049969094998559505, 0.06701199673216379, 0.057456040023939, 0.090682650350755, 0.0440543494237275, 0.08717346821515773, 0.0502219077151002]"
