t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
22.0,12.833333333333334,6.997618642557385,"[5, 20, 18, 18, 4, 12]",0.1374283464950365,0.0519928424856987,"[0.12849152874103015, 0.19504291575358781, 0.10170703625040575, 0.20122614067339445, 0.051467345792451144, 0.1466351117593496]"
22.17,13.0,7.37563556583431,"[5, 20, 20, 18, 4, 11]",0.1262131073211211,0.045687912956297295,"[0.10059114518497317, 0.1890550326419292, 0.10359249705981058, 0.17602959174796548, 0.05625174085596448, 0.13175863643608363]"
22.33,13.166666666666666,7.5740786018278605,"[5, 21, 20, 18, 4, 11]",0.12292051084528481,0.04096362000934998,"[0.09987288296035093, 0.1762749369102471, 0.10645118531898919, 0.16804758134720385, 0.057078087977722944, 0.12979839055719483]"
22.5,13.333333333333334,7.788880963698615,"[5, 22, 20, 18, 4, 11]",0.13136687489856816,0.039830883113168965,"[0.15571014228895272, 0.16801897408445676, 0.10426602141132672, 0.1714431522390642, 0.05897935212144051, 0.12978360724616805]"
22.67,14.166666666666666,7.5740786018278605,"[6, 21, 22, 19, 5, 12]",0.13200485751503618,0.03925974978532148,"[0.13295656783537085, 0.17323999052090405, 0.11783974348407963, 0.17953777004638957, 0.06081761597406439, 0.12763745722940856]"
22.83,14.333333333333334,7.52772652709081,"[5, 22, 21, 19, 6, 13]",0.13330259521208235,0.04206878899256841,"[0.13160044156514236, 0.17354000170667963, 0.1390399465278173, 0.18006497436213062, 0.051498532774796546, 0.12407167433592756]"
23.0,14.333333333333334,7.312090444371341,"[6, 22, 20, 20, 6, 12]",0.13524754124997337,0.04290770216639692,"[0.13126681323924377, 0.16991538995866745, 0.14648002791679676, 0.1855998120162706, 0.05096615798295869, 0.1272570463859031]"
23.17,14.833333333333334,8.084965470963166,"[6, 24, 21, 20, 5, 13]",0.13144559114013107,0.04089819812652769,"[0.11333423013672386, 0.1757676418805425, 0.14369907856901165, 0.17421079183138902, 0.05572111851181018, 0.1259406859113092]"
23.33,15.333333333333334,8.358628276617322,"[7, 26, 21, 20, 5, 13]",0.1315290739131999,0.04050822438773656,"[0.11649835825837977, 0.17569776134148307, 0.13725006814614532, 0.17802342254433917, 0.05795054001310761, 0.12375429317574435]"
23.5,16.0,8.532291603080617,"[8, 25, 24, 21, 5, 13]",0.1327395839633829,0.03967550395779066,"[0.13587790363466862, 0.17436639217146918, 0.14102814720610768, 0.17490777218070042, 0.059420922270407725, 0.11083636631694367]"
23.67,17.166666666666668,9.064583093924764,"[9, 29, 25, 20, 6, 14]",0.12884684909585506,0.03793860400269616,"[0.11798684386291422, 0.17766531337426586, 0.13660893174081556, 0.1673970836177754, 0.06393327511503112, 0.10948964686432823]"
23.83,17.5,9.648834126463155,"[9, 30, 26, 21, 6, 13]",0.126451461433561,0.03402345025467546,"[0.12177576401502184, 0.16320307008480053, 0.13534448606201574, 0.16712012350392255, 0.06970072192465011, 0.10156460301095513]"
24.0,18.666666666666668,10.595596569644707,"[10, 33, 27, 23, 6, 13]",0.12531447074433913,0.03292359564585436,"[0.14228809077821064, 0.14619710883638748, 0.13571943161515154, 0.1619457316756349, 0.06381420904648272, 0.10192225251416757]"
24.17,19.166666666666668,10.166939887039103,"[10, 34, 26, 23, 8, 14]",0.13602305983314245,0.025016033726240863,"[0.13846127908569383, 0.1729863604807528, 0.13905857900421345, 0.15586962239455288, 0.10934540586457149, 0.10041711216907023]"
24.33,20.166666666666668,10.796604404472113,"[10, 35, 28, 25, 8, 15]",0.13513709849039043,0.03224782728607349,"[0.1360521243350659, 0.183861649801563, 0.14048615415012533, 0.15835314031906317, 0.08510241346718576, 0.10696710886933947]"
24.5,21.166666666666668,11.788412389574207,"[10, 37, 30, 26, 7, 17]",0.14153708840976473,0.02547862835410404,"[0.13787787075647429, 0.17343782354204523, 0.15127509283791002, 0.1678574656482121, 0.10725562086350511, 0.11151865681044144]"
24.67,23.5,12.817956155331473,"[12, 43, 32, 27, 10, 17]",0.14497345646779505,0.02802469516723802,"[0.13591443501301298, 0.1617199494045875, 0.17741823417801533, 0.17413325593197426, 0.10552436900542501, 0.11513049527375518]"
24.83,25.333333333333332,14.459137825841024,"[13, 49, 32, 29, 10, 19]",0.14480667731741745,0.026102378586622798,"[0.12108494505561411, 0.1600529550224947, 0.18022344285100317, 0.16641138960764434, 0.13455804410836372, 0.10650928725938472]"
25.0,27.666666666666668,15.383974345619102,"[14, 53, 35, 31, 12, 21]",0.1369427225054276,0.027123287162727022,"[0.11286459224610905, 0.15861790473704412, 0.1736374013686995, 0.15331117392711854, 0.12689028933735616, 0.09633497341623816]"
